season,forecast_date,team,result,make_playoffs_538,make_playoffs_bookies
2020,2019-10-22,Bucks,1,0.9949,0.975609756097561
2020,2019-10-22,Timberwolves,0,0.52541,0.17241379310344826
2020,2019-10-22,Heat,1,0.70811,0.7297297297297297
2020,2019-10-22,Wizards,0,0.21388,0.12167300380228137
2020,2019-10-22,Hawks,0,0.11474,0.3
2020,2019-10-22,Celtics,1,0.9037,0.8913043478260869
2020,2019-10-22,Pistons,0,0.43183,0.42168674698795183
2020,2019-10-22,Nuggets,1,0.9352,0.9166666666666666
2020,2019-10-22,Knicks,0,0.009,0.12167300380228137
2020,2019-10-22,Mavericks,1,0.58466,0.30955585464333785
2020,2019-10-22,Nets,1,0.61948,0.6875
2020,2019-10-22,Thunder,1,0.49121,0.15094339622641506
2020,2019-10-22,Raptors,1,0.9148,0.8333333333333334
2020,2019-10-22,Bulls,0,0.44024,0.3
2020,2019-10-22,Hornets,0,0.04395,0.07259073842302877
2020,2019-10-22,Jazz,1,0.86245,0.9166666666666666
2020,2019-10-22,Warriors,0,0.76675,0.782608695652174
2020,2019-10-22,Cavaliers,0,0.0327,0.080370942812983
2020,2019-10-22,Rockets,1,0.97781,0.9209486166007905
2020,2019-10-22,Lakers,1,0.70392,0.8500749625187406
2020,2019-10-22,76ers,1,0.9898,0.967741935483871
2020,2019-10-22,Grizzlies,0,0.06344,0.07259073842302877
2020,2019-10-22,Pelicans,0,0.3276,0.3
2020,2019-10-22,Clippers,1,0.91647,0.9523809523809523
2020,2019-10-22,Kings,0,0.11595,0.26717557251908397
2020,2019-10-22,Magic,1,0.76766,0.6363636363636364
2020,2019-10-22,Suns,0,0.19619,0.07259073842302877
2020,2019-10-22,Pacers,1,0.81521,0.8571428571428571
2020,2019-10-22,Spurs,0,0.141,0.6226415094339622
2019,2018-10-18,Bucks,1,0.90192,0.8876404494382023
2019,2018-10-18,Timberwolves,0,0.71302,0.42857142857142855
2019,2018-10-18,Heat,0,0.6902,0.7647058823529411
2019,2018-10-18,Wizards,0,0.8968,0.8726114649681529
2019,2018-10-18,Hawks,0,0.0555,0.018727109391196182
2019,2018-10-18,Celtics,1,0.98292,0.9789473684210527
2019,2018-10-18,Pistons,1,0.61668,0.6
2019,2018-10-18,Nuggets,1,0.91512,0.8118532455315146
2019,2018-10-18,Knicks,0,0.0156,0.08792270531400967
2019,2018-10-18,Mavericks,0,0.0156,0.12104752667313289
2019,2018-10-18,Nets,1,0.3236,0.22772277227722773
2019,2018-10-18,Thunder,1,0.9493,0.8601398601398601
2019,2018-10-18,Raptors,1,0.9964,0.9393939393939394
2019,2018-10-18,Bulls,0,0.0465,0.10672514619883042
2019,2018-10-18,Hornets,0,0.4298,0.4024144869215292
2019,2018-10-18,Jazz,1,0.97632,0.8876404494382023
2019,2018-10-18,Warriors,1,0.9994,0.9923664122137404
2019,2018-10-18,Cavaliers,0,0.10498,0.21500721500721504
2019,2018-10-18,Rockets,1,0.9766,0.9854014598540146
2019,2018-10-18,Lakers,0,0.8143,0.8181818181818182
2019,2018-10-18,76ers,1,0.9826,0.9612703330751355
2019,2018-10-18,Grizzlies,0,0.11668,0.15625
2019,2018-10-18,Pelicans,0,0.75404,0.6581196581196581
2019,2018-10-18,Clippers,1,0.10196,0.21500721500721504
2019,2018-10-18,Kings,0,0.0024,0.03381642512077295
2019,2018-10-18,Magic,1,0.18864,0.12660944206008584
2019,2018-10-18,Suns,0,0.02038,0.03381642512077295
2019,2018-10-18,Pacers,1,0.76786,0.8666666666666667
2019,2018-10-18,Spurs,1,0.25946,0.5240793201133145
2018,2017-10-17,Bucks,1,0.79032,0.8540145985401459
2018,2017-10-17,Timberwolves,1,0.80534,0.8579545454545454
2018,2017-10-17,Heat,1,0.62568,0.7560975609756098
2018,2017-10-17,Wizards,1,0.83202,0.9
2018,2017-10-17,Hawks,0,0.0891,0.04054054054054054
2018,2017-10-17,Celtics,1,0.85342,0.9620853080568721
2018,2017-10-17,Pistons,0,0.36564,0.467005076142132
2018,2017-10-17,Nuggets,0,0.75794,0.6774193548387097
2018,2017-10-17,Knicks,0,0.18778,0.15576761156328936
2018,2017-10-17,Mavericks,0,0.072,0.17256637168141595
2018,2017-10-17,Nets,0,0.16856,0.07133507853403141
2018,2017-10-17,Thunder,1,0.934,0.9164926931106472
2018,2017-10-17,Raptors,1,0.82634,0.8769230769230769
2018,2017-10-17,Bulls,0,0.08666,0.031578947368421054
2018,2017-10-17,Hornets,0,0.8434,0.738562091503268
2018,2017-10-17,Jazz,1,0.65596,0.417910447761194
2018,2017-10-17,Warriors,1,0.9925,0.9966777408637874
2018,2017-10-17,Cavaliers,1,0.9865,0.9661016949152542
2018,2017-10-17,Rockets,1,0.9643,0.9393939393939394
2018,2017-10-17,Lakers,0,0.09208,0.13934426229508196
2018,2017-10-17,76ers,1,0.5714,0.6581196581196581
2018,2017-10-17,Grizzlies,0,0.1977,0.273517382413088
2018,2017-10-17,Pelicans,1,0.50574,0.40931545518701484
2018,2017-10-17,Clippers,0,0.66944,0.6153846153846154
2018,2017-10-17,Kings,0,0.018,0.05277401894451963
2018,2017-10-17,Magic,0,0.5018,0.24872579001019365
2018,2017-10-17,Suns,0,0.07646,0.05277401894451963
2018,2017-10-17,Pacers,1,0.27138,0.1665578053559765
2018,2017-10-17,Spurs,1,0.80714,0.9298245614035088
2017,2016-10-25,Bucks,1,0.25739,0.3944020356234097
2017,2016-10-25,Timberwolves,0,0.71576,0.5024337479718767
2017,2016-10-25,Heat,0,0.28484,0.27999999999999997
2017,2016-10-25,Wizards,1,0.51942,0.8449612403100776
2017,2016-10-25,Hawks,1,0.48929,0.6226415094339622
2017,2016-10-25,Celtics,1,0.86725,0.9836065573770492
2017,2016-10-25,Pistons,0,0.58243,0.7445721583652618
2017,2016-10-25,Nuggets,0,0.44591,0.23478260869565218
2017,2016-10-25,Knicks,0,0.35878,0.4805194805194805
2017,2016-10-25,Mavericks,0,0.30118,0.3867069486404834
2017,2016-10-25,Nets,0,0.03315,0.037374658158614404
2017,2016-10-25,Thunder,1,0.8329,0.689922480620155
2017,2016-10-25,Raptors,1,0.93955,0.9701492537313433
2017,2016-10-25,Bulls,1,0.8059,0.5024337479718767
2017,2016-10-25,Hornets,0,0.78791,0.5555555555555556
2017,2016-10-25,Jazz,1,0.85001,0.7714285714285715
2017,2016-10-25,Warriors,1,0.99745,0.9962616822429906
2017,2016-10-25,Cavaliers,1,0.9871,0.9928571428571429
2017,2016-10-25,Rockets,1,0.66297,0.5918367346938775
2017,2016-10-25,Lakers,0,0.0225,0.03290799194089993
2017,2016-10-25,76ers,0,0.1533,0.061433447098976114
2017,2016-10-25,Grizzlies,1,0.20054,0.6460176991150441
2017,2016-10-25,Pelicans,0,0.2046,0.25934163701067614
2017,2016-10-25,Clippers,1,0.75418,0.9701492537313433
2017,2016-10-25,Kings,0,0.18944,0.13978494623655913
2017,2016-10-25,Magic,0,0.48882,0.37931034482758624
2017,2016-10-25,Suns,0,0.1047,0.06976744186046513
2017,2016-10-25,Pacers,1,0.44487,0.7714285714285715
2017,2016-10-25,Spurs,1,0.9655,0.9928571428571429
2016,2015-10-27,Bucks,0,0.3434,0.6296296296296297
2016,2015-10-27,Timberwolves,0,0.0204,0.0445859872611465
2016,2015-10-27,Heat,1,0.479,0.7883597883597885
2016,2015-10-27,Wizards,0,0.6622,0.8449612403100776
2016,2015-10-27,Hawks,1,0.8539,0.936
2016,2015-10-27,Celtics,1,0.9034,0.7419354838709677
2016,2015-10-27,Pistons,1,0.4518,0.29297458893871453
2016,2015-10-27,Nuggets,0,0.0453,0.03381642512077295
2016,2015-10-27,Knicks,0,0.0561,0.14769606347268846
2016,2015-10-27,Mavericks,1,0.2861,0.2727272727272727
2016,2015-10-27,Nets,0,0.0282,0.07970784375992379
2016,2015-10-27,Thunder,1,0.9746,0.9854014598540146
2016,2015-10-27,Raptors,1,0.7768,0.8918918918918919
2016,2015-10-27,Bulls,0,0.8782,0.9452054794520548
2016,2015-10-27,Hornets,1,0.6023,0.2225705329153605
2016,2015-10-27,Jazz,0,0.6547,0.5348837209302325
2016,2015-10-27,Warriors,1,0.9844,0.9854014598540146
2016,2015-10-27,Cavaliers,1,0.9997,0.9933774834437086
2016,2015-10-27,Rockets,1,0.8785,0.9322033898305084
2016,2015-10-27,Lakers,0,0.0042,0.04952698942682248
2016,2015-10-27,76ers,0,0.0312,0.03381642512077295
2016,2015-10-27,Grizzlies,1,0.8095,0.8666666666666667
2016,2015-10-27,Pelicans,0,0.6158,0.7468354430379747
2016,2015-10-27,Clippers,1,0.9472,0.9603960396039604
2016,2015-10-27,Kings,0,0.2838,0.13978494623655913
2016,2015-10-27,Magic,0,0.4331,0.12660944206008584
2016,2015-10-27,Suns,0,0.2984,0.23879500367376927
2016,2015-10-27,Pacers,1,0.5007,0.5348837209302325
2016,2015-10-27,Spurs,1,0.9661,0.9722222222222222
